,Water,Settlement,Dark soil, Bright soil,Vegetation,Agriculture,Cloud,Cloud shadow
1780,0.90065163,9.807331,9.196264,17.460918,10.586484,11.297021,21.72819,2.2630267
1781,0.8820028,8.253503,9.150322,17.353144,9.982289,11.222603,19.404102,2.252376
1782,0.93514735,8.558635,9.150424,16.52961,9.95023,11.271518,25.001558,2.4511685
1783,0.88196176,8.291424,9.039947,16.574718,9.887054,11.395718,27.43702,2.4541006
1784,0.98854166,7.9777875,9.313665,16.38534,9.9882145,11.460597,27.969728,1.8402146
1785,0.8528497,8.23984,8.725259,16.401644,10.944781,,29.360909,1.8646318
1786,0.8446155,8.03554,8.549668,17.93798,10.828517,,29.139467,2.1153607
1787,0.71549773,7.702516,9.004711,16.412094,10.760024,,28.362362,2.0309496
1788,0.72767955,8.237336,8.868278,18.297565,10.926351,,27.840322,2.009029
1789,0.8687532,9.409318,8.946161,18.447203,10.716111,,26.11968,2.1997817
1790,0.93115467,8.132283,9.082106,19.024227,10.753441,,25.8043,2.2127244
1791,0.98515207,8.543383,8.847798,18.923765,10.119533,,22.524448,2.320789
1792,0.87082267,8.173404,8.769933,19.008924,10.254446,,25.22904,2.485824
1793,0.8034116,8.31974,8.6411,19.04004,10.097085,,27.385546,2.491545
1794,0.9028128,9.354751,9.070883,19.305744,10.071214,,28.814484,2.417348
1795,0.82585883,7.4260607,8.702013,19.135813,11.116615,,30.574963,1.6593467
1796,0.9595405,9.058573,8.711942,17.817947,11.027806,,30.977617,1.6352661
1797,0.7897883,8.885154,8.988716,17.606108,10.564231,,30.990622,1.9646797
1798,0.89213157,8.617697,8.714359,18.03767,10.7771845,,30.045034,2.1433809
1799,0.9051211,9.667913,8.968053,18.382215,9.866899,,27.847567,2.0372646
1800,0.8957233,8.398129,9.057892,18.394468,9.965315,,27.177673,2.2687116
1801,0.9404955,8.681384,8.822978,18.738607,9.557257,,22.964733,2.3470106
1802,0.8498286,7.553748,8.814999,18.739426,9.57797,,24.342863,2.2425017
1803,0.91632265,8.257006,8.689109,19.030466,9.324498,,27.710157,2.2478225
1804,0.8174072,8.909864,9.171408,19.201868,9.458642,,29.595528,2.3609533
1805,0.7852248,7.6259494,8.547108,19.396788,10.2263775,,31.831615,1.70979
1806,0.88567466,10.829975,8.717927,19.050312,9.9282055,,32.960922,1.9671851
1807,0.78024507,9.11537,8.747055,17.493582,9.967954,,32.274635,2.0287519
1808,0.69859004,8.189174,8.563866,17.100246,10.084175,,31.29577,1.9926056
1809,0.6278159,9.072397,8.830443,17.933477,10.080887,,29.152554,2.0663962
1810,0.7461432,8.345297,8.873872,18.246468,10.100318,,27.796244,2.3806565
1811,0.62080956,8.14039,8.7385025,18.367233,9.984577,,23.587854,2.4668367
1812,0.7021261,7.4135823,8.7405,18.647257,9.852988,,24.464523,2.2494943
1813,0.6259342,8.337293,8.713257,18.735714,10.093703,,28.19455,2.3198545
1814,0.798432,8.575179,8.984695,19.022684,9.912553,,29.748184,2.30635
1815,0.5619149,8.236264,7.77139,19.14566,10.182281,,31.891129,2.1429765
1816,0.6556459,10.506139,7.7879868,19.221262,9.759836,,32.011276,2.1230657
1817,0.8439364,9.359706,7.7592506,18.941504,9.630346,,30.17902,2.0672069
1818,0.74890786,10.107423,7.734944,17.448132,9.916884,,29.581657,2.2264946
1819,0.7437522,10.519302,7.627985,17.052582,9.684828,,27.549673,2.2414927
1820,0.980914,8.468339,7.75495,17.590559,9.940983,,26.67988,2.3326788
1821,0.7689002,8.763096,7.8336716,17.888302,10.113276,,23.496744,2.372738
1822,0.7147233,8.599772,7.7866464,17.990677,9.936398,,24.59879,2.3469534
1823,0.6659727,9.272809,7.7726603,18.33541,10.052024,,26.718029,2.3523095
1824,0.8823335,9.22207,7.7820725,18.379078,9.825065,,28.439323,2.2782292
1825,0.69044185,7.61468,7.6771154,18.887505,10.168891,,29.11426,2.0485232
1826,0.6940354,9.60354,7.8176594,19.114445,10.666567,,28.142275,2.3250449
1827,0.81593764,9.636013,7.8608055,18.854925,10.645553,,26.238264,2.241483
1828,0.8256172,10.054836,7.75914,18.630304,9.952152,,25.546068,2.3165498
1829,0.81208163,10.253424,7.5461016,16.948364,9.9702,,24.508238,2.4384477
1830,0.75785595,7.498351,7.4415607,16.540266,10.016599,,24.21894,2.4623299
1831,0.8424776,7.8394876,7.665093,17.712643,10.069564,,22.296526,2.278296
1832,0.680922,8.281006,7.654791,17.895391,10.477202,,19.685888,2.353498
