,"B2
490 nm","B3
560 nm","B4
665 nm","B5
705 nm","B6
750 nm","B7
783 nm","B8
842 nm","B8A
865 nm","B11
1910 nm","B12
2190 nm",lc
mean,0.04649587155963303,0.05765122324159022,0.03787836391437309,0.08150420489296635,0.2439886850152905,0.28588470948012235,0.30010183486238534,0.3148275229357798,0.1424908256880734,0.06916567278287462,Vegetation
std,0.005317581937654942,0.009437197399307252,0.009928120307370659,0.01432172219945258,0.040541458962727185,0.0522064719257405,0.05871898240663703,0.055555752163481,0.028330489061933566,0.019071902138801083,Vegetation
mean,0.05369685039370079,0.07536043307086615,0.05208051181102362,0.10541023622047244,0.31040098425196855,0.3672267716535433,0.3818273622047244,0.4004194881889764,0.18420964566929132,0.09088917322834646,Agriculture
std,0.0035302342929298823,0.005912477146287636,0.007291008900207001,0.01400600088153634,0.03397161622720516,0.0450301642471058,0.048913403124880905,0.04756991775358351,0.03881479015003131,0.029353159779803774,Agriculture
mean,0.3740596774193548,0.38918024193548384,0.4045192204301075,0.4485459677419355,0.5172841397849463,0.5171354838709677,0.5384504032258064,0.5354896505376344,0.5331802419354839,0.5346456989247312,Cloud
std,0.13507455411242725,0.13436673204489982,0.14060291573333683,0.14119319462048296,0.12803104662620376,0.11740443187313376,0.12390945691359959,0.11553226050374488,0.11478111769456946,0.14119240485978551,Cloud
mean,0.04766056701030928,0.045702061855670106,0.034004639175257735,0.04011855670103093,0.05105257731958763,0.05321030927835052,0.05096056701030928,0.052236726804123716,0.03131365979381443,0.019293943298969073,Cloud shadow
std,0.007668704172028314,0.009107798622239389,0.008763478709704496,0.012594963293547668,0.0349883371323122,0.03884562561042766,0.041103367625167864,0.04467989868134875,0.03425472240024226,0.01943337141515495,Cloud shadow
mean,0.07359616182572615,0.08508246887966804,0.09321794605809129,0.10328060165975103,0.09222593360995851,0.09556296680497925,0.08803402489626555,0.07766504149377594,0.01841421161825726,0.01370051867219917,Water
std,0.008151679668078275,0.011205603929405436,0.017411239955092993,0.017998458087040186,0.020881206097317785,0.02234387736206649,0.021585253321147583,0.01954246944590082,0.008017217667532023,0.004975087442226779,Water
mean,0.07821590909090909,0.09401022727272727,0.11071818181818183,0.14863863636363636,0.2271715909090909,0.261875,0.2824920454545454,0.2982931818181818,0.33020795454545454,0.2648409090909091,Settlement
std,0.012093580384665915,0.015201006014596513,0.025558436740345455,0.01866023759453881,0.01290687199000413,0.014518488015384853,0.023192627750535762,0.014663723284495766,0.04386552654142579,0.06088850680738541,Settlement
mean,0.06028934911242603,0.05995502958579882,0.07021449704142012,0.0818189349112426,0.0947301775147929,0.10372781065088757,0.10777721893491125,0.11394171597633135,0.18775384615384613,0.20488816568047336,Dark soil
std,0.0020271024597217314,0.0031278857060672797,0.005548833374992744,0.007652089727682149,0.010615417960905517,0.012846687686327343,0.015644892283338565,0.016798251446090873,0.012128336978477365,0.02349920970088016,Dark soil
mean,0.11701773399014778,0.1387704433497537,0.17949655172413792,0.20906600985221677,0.24705632183908047,0.2694620689655173,0.28544121510673237,0.2977589490968801,0.43392676518883416,0.43418275862068967, Bright soil
std,0.024917732023578294,0.029313871109788205,0.03659894759502684,0.036480887804526935,0.036121416644371095,0.03585280061807877,0.03811093087042825,0.037720380801910716,0.0646437938890306,0.08631897460343248, Bright soil
mean,0.06245394321766562,0.07583919558359621,0.06278493690851736,0.1083435331230284,0.23597350157728705,0.27964313880126185,0.29749337539432175,0.3117585173501577,0.19640212933753945,0.105556309148265,Vegetation
std,0.005585881845654825,0.010263263195124042,0.010254995213604916,0.017383718465754476,0.03736361327816772,0.04242107831031552,0.047115893021147326,0.047496136161652165,0.036035301952119354,0.02154659896628839,Vegetation
mean,0.06554707520891365,0.08637855153203343,0.07354289693593315,0.1331125348189415,0.2863125348189415,0.3409690807799443,0.3595267409470752,0.36825264623955434,0.17394345403899722,0.09854902506963788,Agriculture
std,0.008860179328577458,0.018734931736460184,0.014314785046025983,0.015375740304956384,0.03847994085268348,0.05436926831787265,0.0590272189673011,0.056659169059461,0.0416561195554288,0.021403085270650157,Agriculture
mean,0.2634621683967705,0.2815061130334487,0.31556828143021914,0.35604659746251444,0.403620645905421,0.4190985005767013,0.43664694348327565,0.43806297577854675,0.49321130334486735,0.4468920415224913,Cloud
std,0.06759378429753835,0.07314413337139443,0.08695180022983648,0.08743146717306781,0.0794134142952003,0.07645602449350808,0.072996472908245,0.07407388781656825,0.09093916887456831,0.1049981826252405,Cloud
mean,0.05493863134657837,0.05252538631346579,0.04787229580573951,0.05768620309050773,0.07667373068432672,0.08332185430463576,0.0800182119205298,0.08128509933774834,0.048548344370860926,0.033011147902869756,Cloud shadow
std,0.004611535847860144,0.0036819188059612237,0.0067048555527409025,0.006526100384650229,0.01926144848027604,0.024085155265890737,0.02576802484521366,0.02865495027940169,0.026620268158188683,0.01958946377664671,Cloud shadow
